,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
12837,2021-08-16_16-16-36_UTC,151,0,3806,18454,1947,4,1,0,Friday,5,17.0,Creators & Celebrities
12838,2021-08-15_23-24-15_UTC,223,0,3806,18454,1947,4,1,0,Thursday,5,17.0,Creators & Celebrities
12839,2021-08-13_16-22-58_UTC,291,0,3806,18454,1947,4,1,0,Wednesday,5,16.0,Creators & Celebrities
12842,2021-08-10_20-31-17_UTC,70,1,3806,18454,1947,4,1,0,Sunday,5,22.0,Creators & Celebrities
12843,2021-08-10_16-16-30_UTC,279,0,3806,18454,1947,4,1,0,Saturday,5,16.0,Creators & Celebrities
12846,2021-08-07_15-50-19_UTC,215,0,3806,18454,1947,4,1,0,Thursday,4,16.0,Creators & Celebrities
12847,2021-08-06_15-38-18_UTC,229,0,3806,18454,1947,4,1,0,Wednesday,4,23.0,Creators & Celebrities
12848,2021-08-05_17-37-17_UTC,59,1,3806,18454,1947,4,1,0,Wednesday,4,16.0,Creators & Celebrities
12850,2021-08-03_16-02-54_UTC,447,0,3806,18454,1947,4,1,0,Tuesday,4,19.0,Creators & Celebrities
12851,2021-08-02_22-49-29_UTC,160,0,3806,18454,1947,4,1,0,Monday,4,17.0,Creators & Celebrities
12852,2021-08-02_15-01-37_UTC,144,0,3806,18454,1947,4,1,0,Monday,4,2.0,Creators & Celebrities
12853,2021-08-01_23-13-35_UTC,218,0,3806,18454,1947,4,1,0,Saturday,4,16.0,Creators & Celebrities
12854,2021-07-31_17-06-05_UTC,164,0,3806,18454,1947,4,1,0,Friday,4,17.0,Creators & Celebrities
12857,2021-07-29_15-54-20_UTC,211,0,3806,18454,1947,4,1,0,Wednesday,4,22.0,Creators & Celebrities
12860,2021-07-26_17-15-33_UTC,103,1,3806,18454,1947,4,1,0,Tuesday,4,16.0,Creators & Celebrities
12862,2021-07-24_16-10-00_UTC,144,0,3806,18454,1947,4,1,0,Monday,4,16.0,Creators & Celebrities
12863,2021-07-23_21-29-49_UTC,224,0,3806,18454,1947,4,1,0,Monday,4,1.0,Creators & Celebrities
12865,2021-07-22_16-17-20_UTC,229,0,3806,18454,1947,4,1,0,Saturday,4,16.0,Creators & Celebrities
12867,2021-07-20_16-02-12_UTC,296,0,3806,18454,1947,4,1,0,Friday,4,16.0,Creators & Celebrities
12868,2021-07-19_15-38-00_UTC,188,0,3806,18454,1947,4,1,0,Thursday,4,22.0,Creators & Celebrities
12869,2021-07-18_14-56-09_UTC,169,0,3806,18454,1947,4,1,0,Thursday,4,16.0,Creators & Celebrities
12870,2021-07-17_16-41-49_UTC,229,0,3806,18454,1947,4,1,0,Wednesday,4,23.0,Creators & Celebrities
12873,2021-07-14_22-06-24_UTC,94,1,3806,18454,1947,4,1,0,Tuesday,4,16.0,Creators & Celebrities
12874,2021-07-14_16-05-00_UTC,238,0,3806,18454,1947,4,1,0,Monday,4,16.0,Creators & Celebrities
12875,2021-07-13_21-14-22_UTC,83,0,3806,18454,1947,4,1,0,Sunday,4,16.0,Creators & Celebrities
12877,2021-07-12_21-24-42_UTC,62,1,3806,18454,1947,4,1,0,Friday,4,16.0,Creators & Celebrities
12878,2021-07-12_16-18-17_UTC,227,0,3806,18454,1947,4,1,0,Thursday,4,17.0,Creators & Celebrities
12879,2021-07-10_16-03-17_UTC,641,0,3806,18454,1947,4,1,0,Wednesday,4,16.0,Creators & Celebrities
12880,2021-07-09_16-00-24_UTC,191,0,3806,18454,1947,4,1,0,Tuesday,4,22.0,Creators & Celebrities
12881,2021-07-08_21-59-49_UTC,84,1,3806,18454,1947,4,1,0,Tuesday,4,17.0,Creators & Celebrities
12882,2021-07-08_16-14-07_UTC,279,0,3806,18454,1947,4,1,0,Monday,4,21.0,Creators & Celebrities
12884,2021-07-07_16-33-14_UTC,218,0,3806,18454,1947,4,1,0,Sunday,4,18.0,Creators & Celebrities
12886,2021-07-06_16-34-32_UTC,177,0,3806,18454,1947,4,1,0,Saturday,4,0.0,Creators & Celebrities
12887,2021-07-05_22-38-57_UTC,293,0,3806,18454,1947,4,1,0,Thursday,4,21.0,Creators & Celebrities
12888,2021-07-04_17-21-40_UTC,196,0,3806,18454,1947,4,1,0,Thursday,4,16.0,Creators & Celebrities
12889,2021-07-03_17-06-09_UTC,326,0,3806,18454,1947,4,1,0,Wednesday,3,15.0,Creators & Celebrities
12890,2021-07-02_15-53-42_UTC,201,0,3806,18454,1947,4,1,0,Tuesday,3,21.0,Creators & Celebrities
12891,2021-07-01_21-43-59_UTC,47,1,3806,18454,1947,4,1,0,Tuesday,3,16.0,Creators & Celebrities
